course_name,course_url,course_logo_url,category,difficulty,description,rating,enrollment_count
The Modern and the Postmodern (Part 2),https://www.coursera.org/learn/modern-postmodern-2,https://s3.amazonaws.com/coursera-course-photos/ae/40ab4d371617977d0c8b273d63e014/The-Bar-at-the-Folies-Bergeres-by-Edouard-Manet.jpg,Liberal Arts,MIXED,"Aesthetics, Culture, Cultural Diversity, Social Studies, Psychology, Political Sciences, Sociology, Creativity, Social Sciences, Higher Education",4.8,360
Blazor for Front-End Development,https://www.coursera.org/learn/blazor-for-front-end-development,https://s3.amazonaws.com/coursera-course-photos/51/793fb9d8bb46028702415611842d01/FE.C4_Logo-1-.png,User Interface and User Experience (UI/UX) Design,BEGINNER,"User Interface (UI), User Interface (UI) Design, UI Components, Microsoft Development Tools, Performance Tuning, ASP.NET, Front-End Web Development, .NET Framework, C# (Programming Language), Web Applications, Server Side, Web Development, Debugging",3.5,2
Matlab and Simulink Basics ,https://www.coursera.org/learn/matlab-and-simulink-basics,https://s3.amazonaws.com/coursera-course-photos/9a/8fc3108844461793d5e7818b7d2e94/BATCH-5-1200-x-1200-px-2-.png,Matlab,BEGINNER,"Scientific Visualization, Simulation and Simulation Software, Mathematical Modeling, Engineering Analysis, Numerical Analysis, Data Integration, Data Structures, Scripting, Computer Programming, Debugging",4,36
The Raspberry Pi Platform and Python Programming for the Raspberry Pi,https://www.coursera.org/learn/raspberry-pi-platform,https://s3.amazonaws.com/coursera-course-photos/39/9007a0477e11e5a942d344b74e874c/Course-4-logo-v1.jpg,Linux,MIXED,"Operating Systems, Integrated Development Environments, File Systems, Internet Of Things, Command-Line Interface, Development Environment, System Configuration, Embedded Systems, Python Programming, OS Process Management, User Interface (UI), Computer Hardware, UI Components, Software Installation, Computer Programming",4.7,2755
Statistical Inference,https://www.coursera.org/learn/statistical-inference,https://s3.amazonaws.com/coursera-course-photos/fc/f4739069b611e39de639278c4f9dba/StatisticalInference.jpg,Statistical Inference,MIXED,"Statistical Hypothesis Testing, Probability & Statistics, Probability, Statistics, Bayesian Statistics, Statistical Methods, Statistical Modeling, Statistical Analysis, Probability Distribution, Sampling (Statistics)",4.2,4443
Computer Vision in Microsoft Azure,https://www.coursera.org/learn/computer-vision-microsoft-azure,https://s3.amazonaws.com/coursera-course-photos/37/310cb7aaad4a5c97b4d11974681f15/Computer-Vision-in-Microsoft-Azure-01.png,Image Analysis,BEGINNER,"Computer Vision, Artificial Intelligence, Microsoft Azure, Applied Machine Learning, Data Processing, Unstructured Data, Natural Language Processing, Deep Learning, Application Programming Interface (API)",4.6,92
"Mental Health Development, Difficulties, and Disorders",https://www.coursera.org/learn/mental-health-development-difficulties-and-disorders,https://s3.amazonaws.com/coursera-course-photos/51/58aa4423444c16a7a464064a722986/Mental-Health-Development-Difficulties-and-Disorders---Logo-Image.png,Human Development,BEGINNER,"Gerontology, Psychotherapy, Pediatrics, Mental Health, Psychology, Behavioral Health, Psychiatry",4.3,6
Real-Time Embedded Systems Theory and Analysis,https://www.coursera.org/learn/real-time-embedded-theory-analysis,https://s3.amazonaws.com/coursera-course-photos/79/0efb5b9b4a4ef6929b4a6458bdb57e/RT-Analysis.png,Embedded Systems,ADVANCED,"Embedded Software, Software Design, Linux, Linux Administration, System Design and Implementation, Real Time Data, Software Systems, OS Process Management, Operating Systems, Service Design, Systems Analysis, Theoretical Computer Science, Verification And Validation, Mathematical Software, Algorithms, Debugging",4.1,16
Energy: The Enterprise,https://www.coursera.org/learn/energy-industry-overview,https://s3.amazonaws.com/coursera-course-photos/18/038e60d90c11e68826f9115079a24e/C1-block.jpg,Workforce Development,BEGINNER,"Environmental Issue, Economics, Project Design, Environment, Business Economics, Innovation, Emerging Technologies, Operational Efficiency",4.8,1068
Financing for Startup Businesses,https://www.coursera.org/learn/financing-startup-businesses,https://s3.amazonaws.com/coursera-course-photos/37/fa2fbe286246ca81fe2d50c5c42f14/Financing-Disruptions-.jpg,FinTech,INTERMEDIATE,"Entrepreneurial Finance, Fundraising and Crowdsourcing, Financial Analysis, Financial Modeling, Private Equity, Loans, Financial Services, Credit Risk, Liquidation",4.5,206
